O,A,B,C,D,E,F,G,H
0,0.008091706,0.496981891,0.495967742,0.125,0.153846154,0.181818182,0.235423542,0.263274336
0,0.008091706,0.496981891,0.243951613,0.125,0.153846154,0.090909091,0.138613861,0.129424779
0,0.004045853,1,0.495967742,0.25,0.307692308,0.181818182,0.397139714,0.404867257
0,0.004045853,1,1,0.25,0.307692308,0.181818182,0.693069307,0.811946903
1,0.101146325,0.026911469,0.0234375,0.03125,0.076923077,0.085227273,0.01430143,0.008849558
1,0.084962913,0.056841046,0.0234375,0,0.096153846,0.090909091,0.02750275,0.007743363
1,0.084962913,0.088279678,0.091166835,0,0.096153846,0.181818182,0.02640264,0.022123894
1,0.084962913,0.138581489,0.089591734,0,0.115384615,0.363636364,0.060506051,0.027654867
2,0.204315577,0.002012072,0.086441532,0,0.019230769,0.068181818,0.01870187,0.014380531
2,0.204315577,0.010060362,0.086441532,0,0.019230769,0.034090909,0.02970297,0.014380531
2,0.204315577,0.026156942,0.070690524,0.015625,0.019230769,0.028409091,0.078107811,0.014380531
3,0.005394471,0.076332998,0.033203125,0.51171875,0.230769231,0.136363636,0.398239824,0.096238938
3,0.022252192,0.158702213,0.157006048,0.1171875,0.230769231,0.136363636,0.062706271,0.065265487
3,0.031692515,0.323440644,0.322234123,0.1171875,0.230769231,0.136363636,0.222222222,0.133849558
3,0.022252192,0.056841046,0.054939516,0.03125,0.019230769,0.028409091,0.02530253,0.015486726
4,0.022252192,0.056841046,0.054939516,0.03125,0.057692308,0.028409091,0.0220022,0.01659292
4,0.022252192,0.11971831,0.243951613,0.03125,0.057692308,0.028409091,0.03740374,0.065265487
4,0.022252192,0.11971831,0.243951613,0.03125,0.057692308,0.034090909,0.059405941,0.065265487
5,0.078219825,0.056841046,0.117943548,0.03515625,0.057692308,0.068181818,0.072607261,0.028761062
5,0.534726905,0.056841046,0.070690524,0,0.019230769,0.005681818,0.01540154,0.014380531
5,0.123398517,0.026156942,0.117943548,0.03125,0.019230769,0.045454545,0.061606161,0.025442478
6,0.460552933,0.010060362,0.0234375,0,0.019230769,0.005681818,0.01980198,0.004424779
6,0.123398517,0.056841046,0.117943548,0,0.019230769,0.011363636,0.0330033,0.023230088
6,0.062710722,0.056841046,0.180947581,0.0625,0.019230769,0.011363636,0.059405941,0.045353982
7,0.527983817,0.010060362,0.117943548,0,0.019230769,0.022727273,0.00660066,0.021017699
7,0.527983817,0.010060362,0.117943548,0,0.019230769,0.022727273,0.01540154,0.021017699
7,0.527983817,0.010060362,0.117943548,0,0.019230769,0.022727273,0.01760176,0.021017699
8,0.059339177,0.010060362,0.0234375,0,0.057692308,0.056818182,0.0220022,0.005530973
8,0.059339177,0.11971831,0.054939516,0.03125,0.057692308,0.107954545,0.02860286,0.019911504
8,0.039109912,0.182595573,0.117943548,0.03125,0.057692308,0.272727273,0.063806381,0.043141593
9,0.1908294,0.042253521,0.039188508,0,0.115384615,0.136363636,0.0330033,0.008849558
